matchId,date,patch,durationMin,champion,position,win,kills,deaths,assists,kda,cs,csPerMin,goldPerMin,dmgPerMin,teamDmgPct,killParticipation,visionPerMin,controlWards,soloKills,timeDeadSec,deadPct,laneMinions10,laneGoldExpAdv,earlyLaneAdv,maxCsAdvOpp,visionAdvOpp,goldDiff10,csDiff10,xpDiff10,goldDiff14,csDiff14,xpDiff14,firstTowerKilledTime,turretPlates,doubleKills,tripleKills,quadraKills,pentaKills,surrenderEnd,earlySurrender
NA1_5133515313,1728953043,14.20,28.9,Caitlyn,BOTTOM,0,10,9,5,1.67,264,9.12,540.8,1218.5,34.4,53.6,0.8,0,0,242,13.9,63,0,0,48,0.98,413,9,389,-915,4,-606,0,1,2,0,0,0,0,0
NA1_5133545311,1728955208,14.20,30.2,Caitlyn,BOTTOM,1,7,6,5,2,216,7.16,428.7,652.0,19.2,38.7,0.93,1,1,141,7.8,60,0,0,14,0.24,-760,3,-306,-1559,-6,-963,0,0,1,0,0,0,0,0
NA1_5134514519,1729091643,14.20,15.5,Caitlyn,BOTTOM,1,3,6,1,0.67,78,5.04,321.9,505.3,18.6,16.7,0.95,2,0,112,12.1,52,0,0,3,0.68,-332,-14,-363,-297,-30,-1015,797.0,1,0,0,0,0,1,0
NA1_5134524132,1729093016,14.20,43.2,Caitlyn,BOTTOM,1,18,1,14,32,402,9.31,577.5,1564.6,35.3,72.7,1.31,2,1,60,2.3,58,1,0,116.6,1.23,370,-7,651,980,8,1597,894.0,1,4,2,0,0,0,0
NA1_5136270881,1729313942,14.20,24.1,Caitlyn,BOTTOM,1,6,5,2,1.6,160,6.63,427.8,625.5,17.6,27.6,0.74,1,1,138,9.5,61,0,0,3,-0.17,-1042,-15,-204,-1288,-16,-211,851.0,2,0,0,0,0,0,0
NA1_5136296738,1729315941,14.20,31.0,Kaisa,BOTTOM,1,21,5,13,6.8,243,7.83,582.9,1512.9,28.7,75.6,1.14,1,1,121,6.5,49,0,0,85.6,2.3,-276,11,436,408,17,1124,0,0,6,2,0,0,0,0
NA1_5136314710,1729318377,14.20,26.4,Caitlyn,BOTTOM,1,9,3,5,4.67,209,7.93,489.6,1056.3,27.0,42.4,0.82,0,2,54,3.4,59,0,0,19.2,0.55,-773,-8,-337,440,8,545,898.0,2,0,0,0,0,1,0
NA1_5136334725,1729320452,14.20,30.3,Caitlyn,BOTTOM,0,6,6,12,3,222,7.32,430.5,865.5,20.2,64.3,0.56,1,1,195,10.7,48,0,0,31.8,-0.24,-470,-6,45,-126,-9,529,863.0,3,0,0,0,0,0,0
NA1_5136977106,1729399688,14.20,28.1,Caitlyn,BOTTOM,0,3,8,1,0.5,214,7.6,352.6,726.3,27.3,26.7,0.61,1,0,199,11.8,60,0,0,11,-0.1,-348,-12,-188,-1339,-6,-517,658.0,1,1,0,0,0,0,0
NA1_5137006124,1729401912,14.20,37.8,Caitlyn,BOTTOM,1,8,4,6,3.5,266,7.05,474.7,1226.1,27.1,48.3,1.21,2,0,177,7.8,69,1,1,49,0.66,1009,28,629,1377,43,1481,0,2,1,0,0,0,1,0
NA1_5139635183,1729743714,14.21,24.2,Caitlyn,BOTTOM,0,1,7,3,0.57,184,7.59,353.1,515.5,19.8,30.8,0.62,0,0,111,7.6,49,0,0,2,0.43,-1850,-32,-988,-3743,-42,-1674,0,0,0,0,0,0,1,0
NA1_5139657769,1729745633,14.21,27.9,Kaisa,BOTTOM,1,3,0,5,8,257,9.22,419.5,586.2,17.7,29.6,1.05,1,0,0,0.0,66,0,0,27,0.18,-32,-10,141,-406,-22,-140,0,0,0,0,0,0,0,0
